Sentence	Subjectivity	Positivity	Negativity
Don't worry that you'll overwhelm the person reading your résumé with too much detail 	2	2	1
Hiring managers want specific  quantifiable examples of your past successes  not mere job descriptions of past positions you held  said Charles Purdy  senior editor and career-advice expert at Monster com 	2	1	1
Find a way to tell stories of how your past work improved a company's or organization's bottom line  and use those numbers 	2	1	1
The last items you'd think belong on your résumé are the things you did wrong at your last job  but one expert says featuring your failures can actually help you get a job 	1	2	1
One non-intuitive thing employers want to see on a résumé is failure  said Phil Rosenberg  president of reCareered com 	2	2	2
"Employers want to see that you've tried  failed and learned from your failure  all on a prior employer's dime	2	2	2
3 10-surprising-things-put-r-sum-154737905 This demonstrates innovation  willingness to teach risks  [and] faster reaction and response time	2	3	1
3 10-surprising-things-put-r-sum-154737905 It is also a learning experience  and failure teaches success "	2	2	1
Details about your travel experience might seem out of place on a professional résumé  but that's not the case  one recruiting expert says 	2	2	2
I love to see job seekers who have spent a decent amount of time abroad  [whether] for education  employment or volunteer work  said Rachel Dotson  content manager at ZipRecruiter com 	1	3	1
"This type of experience suggests several important things about the candidate	2	2	1
3 10-surprising-things-put-r-sum-154737905 For example  they are not afraid to leave their comfort zone  they are aware and independent  and they have worked in unfamiliar situations with unfamiliar groups	3	3	1 
3 10-surprising-things-put-r-sum-154737905 While there is no guarantee that these characteristics are true of every person who has gone abroad  the experience itself is certainly enough to pique my interest "	1	2	1
Even if you think that some of your past jobs are trivial  one expert says they may still help you get a job 	1	2	2
"Cody Teets  author of ""Golden Opportunity: Remarkable Careers that Began at McDonald's"" (Cider Mill Press  2012) said employers know that working at a fast-food restaurant isn't easy  and it can help a job seeker’s resumé stand out "	2	2	1
Teets  who is now vice president and general manager of McDonald's Rocky Mountain region  said employers value the things that workers learn at their early jobs 	1	2	1
At McDonald's  for example  workers learn to operate as part of a team  to challenge themselves and to roll with the punches  all skills that will come in handy at any job 	2	2	1
Lest you think using a QR code (Quick Response code  or matrix barcode) on your résumé will make you look a little too eager  one hiring expert said  it will actually have the opposite effect 	2	2	1
Even if the QR code might only contain a link to the person's LinkedIn profile  or their phone number  it shows a comfort level [with] and knowledge of technology  Bruce Hurwitz  president and CEO of Hurwitz Strategic Staffing 	2	2	1
Even if potential employees are working on side projects unrelated to the full-time job they are seeking  it may be worthwhile to include those efforts on a résumé  one expert said 	1	1	1
Any kind of side venture  side business or project that could be indirectly related to the full-time work you're pursuing is a good idea  said Dana Leavy-Detrick  small business consultant at Aspyre 	1	2	1
One expert also suggests job candidates should forget about being humble and should brag a bit on their résumés 	1	2	1
"This is particularly true if the talent or drive is directly relevant to the job at hand  but it's also true for applicants who have competed at a high level in other areas	2	1	1
3 10-surprising-things-put-r-sum-154737905 High-performing companies are always looking for an edge in the marketplace  and having a team of competitive and passionate employees on board can provide a significant advantage "	2	3	1
Don't be afraid to ditch the traditional résumé and try something different  one expert says 	1	2	1
One option growing in popularity among many job seekers is a video résumé 	1	1	1
Including a link to a video résumé is a great way to set yourself apart from the crowd and impress hiring managers  said Josh Tolan  CEO of onlinehiring-network  Spark Hire 	1	4	1
If they've carried a sport into college  they've had to work that into a busy schedule and cut into precious free time 	2	1	1
So they're likely to know how to juggle priorities 	1	2	1
10 things you need to know today: September 20  2012	3	1	1
"1  MITT ROMNEY: MY CAMPAIGN IS FOR THE 100 PERCENTMitt Romney continued damage control on Wednesday after Mother Jones dropped a bombshell video in which Romney tells wealthy donors that 47 percent of Americans who pay no federal income taxes think they are ""victims "" and that he won't even bother trying to win them over "	4	1	3
"During a forum with Latino voters hosted by Univision  the White House hopeful insisted Wednesday night that his ""campaign is about 100 percent of Americans"" and about ""helping people who need help """	3	2	1
[Washington Post]………………………………………………………………………………	1	1	1
2  FAST AND FURIOUS PROBE CLEARS HOLDERThe U S  Justice Department's inspector general released a report Wednesday following a 19-month investigation into the Operation Fast and Furious scandal 	1	2	3
It found no proof that the department's top leaders  including Attorney General Eric Holder  knew of the botched effort to trace the flow of thousands of guns to Mexico's drug cartel before it was made public in January 2011 	2	1	3
Republicans have repeatedly argued that Holder was to blame 	3	1	2
[New York Times]………………………………………………………………………………	1	1	1
SEE ALSO: Should the U S  end Cold War sanctions against Russia?	2	2	2
3  FRANCE TO CLOSE EMBASSIES OVER CARTOONSFrance will close its embassies and schools in at least 20 countries on Friday after a Parisian magazine  Charlie Hebdo  published cartoons mocking the Prophet Muhammad 	1	1	2
The decision to run the cartoons comes amid bloody protests in the Muslim world after a filmmaker in the U S  made an anti-Islam video painting Muhammad as a pedophile  a womanizer  and a fraud 	1	1	3
The magazine is arguing it has a right to free speech 	2	1	1
[Telegraph]………………………………………………………………………………	1	1	1
"4  OFFICIAL: ATTACK ON U S CONSULATE WAS TERRORISMA top U S  counterterrorism official told Congress on Wednesday that the assault on the U S  consulate in Benghazi last week  which left four Americans dead  was a ""terrorist attack"" with a possible al Qaeda connection "	2	1	3
Democrats and Republicans have been disputing whether the siege was premeditated 	2	1	2
SEE ALSO: 10 things you need to know today: September 14  2012	2	1	1
Ginsburg was asked by a student about the Constitution's equal-protection clause during an appearance at the University of Boulder Colorado  and if the Supreme Court would consider applying it to sexual orientation 	2	1	1
"The justice said she couldn't go into detail but said DOMA would ""most likely"" come before the court in 2013 "	2	1	1
[Associated Press]………………………………………………………………………………	1	1	1
6  ARCTIC ICE SHRINKS TO NEW ALL-TIME LOWThe amount of sea ice in the Arctic Ocean has fallen to a new record low  the latest evidence that global warming is intensifying 	1	1	2
The National Snow and Ice Data Center said the ice cap has melted to 1 32 million square miles as of Sept  16 	1	1	2
We are now in uncharted territory  NSIDC director Mark Serreze said Wednesday 	2	1	1
[AFP]………………………………………………………………………………	1	1	1
SEE ALSO: 10 things you need to know today: September 11  2012	2	1	1
"According to CNN  a ""source familiar with his thinking "" Stevens worried about the growing threat of terrorist groups in Libya and mentioned he was on a ""hit list """	3	1	3
8  RICHEST AMERICANS' NET WORTH JUMPS 13 PERCENTThe rich are getting richer 	1	2	2
The net worth of the wealthiest 400 Americans grew 13 percent in the past year to $1 7 trillion  according to Forbes magazine 	2	2	1
The annual list is made up of familiar names  including Bill Gates  Warren Buffett  and the Koch brothers 	1	1	1
SEE ALSO: 10 things you need to know today: September 19  2012	2	1	1
9  CHICK-FIL-A TO STOP FUNDING ANTI-GAY GROUPSFast-food giant Chick-fil-A has promised to stop giving money to anti-gay groups and to not engage in political and social debates  according to a Chicago rights lobby 	3	2	2
The about-face comes just two months after the company's president expressed his opposition to same-sex marriage  sparking demonstrations across the country 	2	1	2
Chick-fil-A also repeated a stated policy to treat its employees equally 	2	2	1
[Los Angeles Times]………………………………………………………………………………	1	1	1
10  INNOCENCE OF MUSLIMS ACTRESS SUESAn actress in the controversial anti-Islam film Innocence of Muslims — which sparked deadly protests across the world — is suing filmmaker Nakoula Basseley Nakoua 	2	1	3
Cindy Lee Garcia claims her voice was dubbed in the film and that she was unaware of the anti-Muslim content in it 	2	1	2
Garcia also plans to seek an injunction Thursday against the 14-minute YouTube trailer and ask that it be taken down 	2	1	2
YouTube has so far denied requests to remove the film 	1	1	2
[Associated Press]	1	1	1
SEE ALSO: 10 things you need to know today: September 18  2012	2	1	1
Get 4 Free Issues of The Week	2	1	1
Other stories from this section:	1	1	1
10 things you need to know today: September 24  2012	3	1	1
1  IRAN: ISRAELI ATTACK COULD TRIGGER WORLD WAR IIIA top military commander in Iran  Amir Ali Hajizadeh  says his country would launch a preemptive strike on Israel if it was positive the Jewish state were preparing to attack 	4	1	4
"He added any assault on Iranian soil could trigger ""World War III """	3	1	4
The alarming rhetoric comes as the U S  Senate passed a measure this weekend to continue diplomatic and economic pressure on Iranian President Mahmoud Ahmedinejad to halt Iran's uranium enrichment programs 	2	1	2
2  FLOODS IN INDIA DISPLACE 1 MILLION  KILL 33Floods and landslides triggered by ruthless rain in northeast India have left at least 33 people dead and more than a million without homes 	1	1	3
Government officials said Monday that the states hardest hit were Sikkim  Assam and Arunachal Pradesh 	1	1	2
In Assam alone  nearly one million residents have been displaced and eight have been killed 	1	1	3
In July  flooding in the same area killed 110 people 	1	1	3
3  REPORT: LIBYA ATTACK A BLOW TO CIA EFFORTSThe deadly Sept  11 attack on the U S  consulate in Benghazi was a major blow to U S  intelligence  according to a report in The New York Times 	1	1	3
Of the two dozen personnel evacuated from Libya since the assault  about 12 were CIA operatives who were tasked with keeping an eye on militant groups 	1	1	2
It's a catastrophic intelligence loss  said one American official 	2	1	2
We got our eyes poked out 	1	1	2
4  POLL: MITT'S SUPPORT AMONG ELDERLY CRUMBLESIt's more bad news for Mitt Romney 	2	1	2
The Republican presidential nominee is losing support among older Americans  a pivotal demographic that consistently votes in high numbers 	1	1	2
According to a poll by Reuters/Ipsos  in less than two weeks  Romney's support among voters age 60 and older has slid from a 20-point lead over President Obama to fewer than four points 	1	1	2
The survey also found that Romney's previous advantage among older voters on the issue of Medicare has crumbled 	1	1	2
5  CHINESE WORKERS BRAWL AT IPHONE FIRM'S DORMTaiwan's Foxconn Technology Group  which assembles Apple iPhones  has temporarily closed a plant in China's Shanxi province after a brawl broke out Monday among 2 000 workers at a company dormitory 	1	1	2
"The company said the fight began due to a ""personal dispute """	2	1	2
However  there are reports that the violence started after a guard severely beat up a worker and insulted people from Henan province 	2	1	3
6  MANY HISPANICS COULD BE DETERRED FROM VOTINGNew voting laws in 23 of the 50 states could disenfranchise more than 10 million Hispanic voters  a key demographic that tends to vote Democratic 	2	1	2
"According a study by the Advancement Project  such restrictions  including photo-identification laws and requirements to prove citizenship  will have a ""disproportionate effect"" on Latinos and minorities "	1	1	2
Republican governors pushing the legislation insist the move is to prevent voter fraud 	2	2	1
The 49-year-old Qatari resident was sickened by coronavirus  which causes most common colds but also SARS 	1	1	3
8  HOMELAND  MODERN FAMILY RAKE IN EMMYSShowtime's Homeland and ABC's Modern Family were the big winners at Sunday night's Emmys  with each show taking four awards 	1	3	1
Claire Danes of Homeland won best lead drama actress while her co-star Damian Lewis won best lead actor in a drama 	1	2	1
The psychological thriller's wins were a major upset to AMC's Mad Men  which has previously dominated the drama category 	2	1	1
9  PANDA CUB DIES AT NATIONAL ZOOThe National Zoo in Washington D C  is mourning the loss of a much-anticipated panda cub born earlier this month 	1	1	2
The cause of death is not yet known 	1	1	1
The baby panda was the first panda cub to be born at the zoo since 2005 	1	1	1
These bears are so critically endangered that every cub is important  Dennis Kelly  the zoo's director 	2	2	2
This is devastating for all of us here 	2	1	2
10  BILLIE JOE ARMSTRONG CHECKS INTO REHAB Green Day frontman Billie Joe Armstrong has checked himself to rehab for substance abuse  according to the band's representative 	1	1	2
The announcement comes after the 40-year-old singer had an expletive-laden meltdown onstage at the iHeartRadio Music Festival in Las Vegas on Friday 	1	1	2
10 things you need to know today: September 26  2012	1	1	1
1  AHMADINEJAD CALLS FOR NEW WORLD ORDERIranian President Mahmoud Ahmadinejad ripped Western countries in response to President Obama's address at the United Nations 	1	1	2
"The loose-lipped leader insisted to The Associated Press that America is a bully  adding ""God willing  a new order will come together and we'll do away with everything that distances us """	3	1	2
Ahmadinejad also dismissed the notion that Iran is trying to build nuclear weapons and claimed that — despite Western sanctions — his country is better off than when he came into office seven years ago 	2	1	3
2  TODD AKIN STAYS IN SENATE RACEEmbattled Republican Missouri Senate candidate Todd Akin is staying in the race  despite calls from the GOP establishment  including Mitt Romney  to drop out 	3	1	1
"Tuesday was the last day Akin — under fire for his comments about ""legitimate rape"" — could be removed from the November ballot "	2	1	2
Akin told reporters that Missouri voters spoke when they elected him to be the GOP nominee to face once-vulnerable Democrat Claire McCaskill 	3	1	1
It's not really my decision [to stay in the race] he said 	3	1	1
Iran's state-controlled Press TV said one of its reporters was shot and killed by a sniper as he tried to find out information about the explosions 	2	1	3
There was no immediate word on casualities from Syrian authorities 	1	1	2
The bombings near the army and air force command headquarters were the latest to hit the city as rebels increase their attacks to overthrow President Bashar al-Assad's regime 	1	1	3
4  OBAMA  ROMNEY CRISSCROSS IN BATTLEGROUND OHIOPresident Obama and Mitt Romney will both be in Ohio all day Wednesday  trying to pick up votes in the crucial  battleground state 	2	1	1
It's the first time in about two months that the two have been on the same turf 	1	1	1
Obama will stop at Bowling Green State University and Kent State University  while his opponent will host a business roundtable in Bedford Heights before heading to Toledo 	1	1	1
A new Washington Post poll shows Obama with an 8-point lead against Romney 	1	1	1
No GOP candidate has ever won the White House without carrying the Buckeye State 	1	1	1
5  GREEKS TO STRIKE AGAINST AUSTERITY Government officials in Greece are bracing for a big strike by protesters enraged by a new round of austerity measures being considered in the debt-addled country 	2	1	2
The two biggest unions  representing nearly two million employees  have called for the nation-wide strike on Wednesday 	1	1	1
In preparation for the strike  flights and trains were suspended  several shops closed  and hospitals called in emergency staff 	1	1	2
6  NFL ADMITS ERROR BUT UPHOLDS TOUCHDOWNThe Seattle Seahawks beat the Green Bay Packers on Monday night on a Hail Mary touchdown pass that many fans believed was an interception rather than a touchdown 	2	1	1
The NFL released a statement upholding the controversial call by the replacement refs 	2	1	1
It said the results were final but conceded Seawhawks receiver Golden Tate should have been called for an offensive pass interference before the catch 	2	1	1
"7  BROWN'S STAFF UNDER FIRE FOR 'TOMAHAWK CHOP'Republican Massachusetts Sen  Scott Brown's campaign is coming under the microscope after a video surfaced showing the lawmaker's top staffers chanting Indian ""war whoops"" and making ""tomahawk chops"" during a Boston rally last weekend "	1	1	1
The offensive footage comes as Brown attempts to make his opponent  Democrat Elizabeth Warren's claimed Native American heritage an issue in the race 	2	1	1
8  'MANHATTAN MADAM' PLEADS GUILTY Anna Gristina  the suburban mother of four charged with running an expensive escort service in New York City  pleaded guilty Tuesday to promoting prostitution as part of a plea deal 	1	1	2
The judge said she'll be sentenced Nov  20 to time served and probation 	1	1	2
The legal U S  resident  originally from Scotland  could also be deported 	2	1	2
9  STUDY: SUICIDE KILLS MORE THAN CAR CRASHESAccording to a new study published in the American Journal of Public Health  suicide has surpassed car accidents as the No  1 cause of injury-related death in the United States 	1	1	3
Death by unintentional poisoning  which includes drug overdoses  came in third after increasing a whopping 128 percent in the same time period 	1	1	3
"10  MADONNA CALLS OBAMA A 'BLACK MUSLIM'Pop star Madonna is raising eyebrows after exclaiming at her Washington D C  concert on Monday  ""For better or worse  all right  we have a black Muslim in the White House """	3	1	1
Madonna said in a statement on Tuesday that she was being deliberately ironic 	2	1	1
"Yes  I know Obama is not a Muslim — though I know that plenty of people in this country think he is	2	1	1
6 10-things-know-today-september-26-2012-082000068 And what if he were?	1	1	1
6 10-things-know-today-september-26-2012-082000068 The point I was making is that a good man is a good man  no matter who he prays to	3	1	1
6 10-things-know-today-september-26-2012-082000068 I don't care what religion Obama is — nor should anyone else in America  she said "	2	1	1
10 things you need to know today: September 27  2012	1	1	1
1  SYRIA'S BLOODIEST DAY LEAVES MORE THAN 300 DEADHuman rights groups say more than 300 people were killed across Syria on Wednesday  making it the deadliest day of the 18-month-old civil war 	2	1	4
Two bombs struck the Syrian army headquarters in Damascus  and gunfire ensued between regime forces and rebel fighters trying to topple President Bashar al-Assad 	1	1	3
Outside the capital  at least 40 bodies  including those of women and children were found in the village of Diabeya 	1	1	4
More than 30 000 people have been killed in violence since the revolt began last March 	1	1	4
2  NFL  REFS REACH DEALGoodbye  replacement refs 	1	1	1
The NFL's regular crew will start working Thursday night  ending a three-month lockout between the league and union over pay and pension 	1	1	2
The tentative deal must be ratified by 51 percent of the union's 121 members 	1	1	1
They will vote this weekend in Dallas 	1	1	1
3  ROMNEY: DON'T EXPECT A 'HUGE TAX CUT'Mitt Romney is changing his tune on taxes 	2	1	1
"The Republican presidential nominee told Ohio voters on Wednesday that they shouldn't expect a ""huge cut in taxes because I'm also going to lower deductions and exemptions """	1	1	1
Romney has long said that he'd cut all income-tax rates 20 percent and would lower the top corporate tax rate from 35 percent to 25 percent 	1	1	1
4  GREEKS  SPANISH PROTEST AGAINST AUSTERITYThe Greeks and Spanish took to the streets to protest against austerity measures being considered by the governments in the debt-addled countries 	1	1	2
Demonstrations became violent in Athens when police fired tear gas at rioters throwing gasoline bombs and chunks of marble 	1	1	3
In Madrid  thousands marched as close as they could to Parliament  where they were met with riot police 	1	1	2
There were no reports of violence across Spain  but protesters cut off traffic on one of the city's major thoroughfares 	1	1	2
"5  AKIN GAINS GOP SUPPORTERS Struggling Republican Missouri Senate candidate Todd Akin  under fire for his remarks about ""legitimate rape "" is beginning to pick up support from his fellow GOPers "	3	1	2
He picked up two big endorsements Wednesday from former presidential candidate Rick Santorum and Tea Party star Sen  Jim DeMint 	1	2	1
In addition  the National Republican Senatorial Committee  which had previously pulled millions of dollars of planned advertising for the candidate  said it hopes Akin beats Democratic Sen  Claire McCaskill 	2	1	1
6  PROTESTS ERUPT AT U S  EMBASSY IN BANGKOKMuslim protesters pushed barricades and confronted police in front of the U S  Embassy in Bangkok  furious over the anti-Islam video produced by a filmmaker living in the U S  Approximately 300 police were sent to maintain order as about 200 men and boys surrounded the building 	1	1	2
Protesters said they wanted the U S  government to punish the filmmaker 	3	1	2
They later retreated 	2	1	1
7  U S  ARMY GENERAL CHARGED WITH SEX CRIMESArmy Brig 	1	1	3
Sinclair  who has served two tours in Iraq  will now face a hearing where evidence will be presented  and it will be determined if his case should proceed to a court martial 	1	1	2
"Roseville Police Chief James Berlin said he received a ""credible"" tip that Hoffa may have been buried under a driveway in a residential neighborhood in his small city "	2	1	2
Berlin says he plans to alert the FBI about the new information 	2	1	1
Nearly 22 4 million households  or 19 percent  had college debt in 2010 	1	1	1
That's an all-time high and nearly double the amount in 1989 	1	1	2
It's also up 15 percent since 2007 	1	1	1
The increase is being attributed to higher tuition costs and rising college enrollment during the economic downturn 	1	1	2
"10  SINGER ANDY WILLIAMS DIES AT 84""Moon River"" crooner and Emmy-winning television host Andy Williams died Tuesday at the age of 84 after losing a battle with bladder cancer "	1	1	3
Williams had 18 gold records and three platinum hits 	1	3	1
Throughout the 1970s and 1980s  he hosted a number of award shows including the Grammys  Golden Globes  and the People's Choice Awards 	1	1	1
His Andy Williams Show won three Emmy Awards 	1	3	1
10 Tips and Tricks for Powerful Twitter Search	1	1	1
Twitter search results are divided into sections 	1	1	1
On the left  you can toggle between these categories: Tweets  People  Videos and Images 	1	1	1
"These results are determined by Twitter's search algorithms  as are the ""top"" tweet results "	1	1	1
"In Twitter's words  ""We've built an algorithm that finds the tweets that have caught the attention of other users "	2	1	1
Top Tweets will refresh automatically and are surfaced for popularly retweeted subjects based on this algorithm 	2	1	1
"We do not hand-select Top Tweets ""For"	2	1	1
"If you're carrying out a more stringent search  be sure to click ""All """	2	1	1
With over 2 000 new tweets posted every second  there's a heck of a lot of information to wade through on Twitter  especially if you're looking for something specific 	2	1	1
If you want to get valuable Twitter search results  you need to learn the best strategy for finding that content in the first place 	2	1	1
We have pulled together 10 useful tips and tricks for searching the microblogging platform  including how to find tweets by location and how to save searches for future reference 	1	1	1
"Tens of thousands of Pakistanis rioted against ""Innocence of Muslims "" a controversial video that's been fueling protests across the world "	2	1	3
Buildings were lit aflame and rocks were hurled through windows 	1	1	4
Pakistani law enforcement fired tear gas and  in some cases  live ammunition in efforts to disperse the crowds  according to the Associated Press 	2	1	4
AP VIDEO: Pakistani officials say at least 16 people killed in protests against anti-Islam film  12 in Karachi:apne ws/Q1OdNN	2	1	4
Among the dead was Mohammad Amir  a driver for a local television station  who was reportedly killed when police gunfire struck his vehicle in Peshawar 	2	1	3
A protestor in Peshawar was also killed  along with a police officer in Karachi who was apparently shot by armed demonstrators 	2	1	3
Pakistan's government blocked YouTube on Thursday  a day ahead of the violent protests 	2	1	3
"Around the same time  the government declared Friday a national holiday -- the ""Day of Love for the Prophet Muhammad"" -- to allow for protests "	2	2	2
Pakistani officials reportedly jammed or otherwise shut down cell phone services in at least 15 cities across the country in an effort to disrupt protestors' ability to organize 	2	1	2
Friday has become known as the most active day of the week for protests in Muslim communities  as many uprisings have begun directly after Friday prayers 	1	1	2
Protests related to the film have developed in dozens of other heavily Muslim countries  including Egypt  Libya  Tunisia  Afghanistan and elsewhere 	1	1	2
The BBC's Aleem Maqbool has been covering protests outside the American Embassy in Islamabad on Twitter:	1	1	2
lots of live rounds fired in last few mins  more tear gas 	2	1	3
numbers definitely increased close to diplomatic enclave	2	1	2
seen more injured in last hour than all of yesterday 	2	1	3
once again ppl saying they want to burn the u s 	2	1	3
police firing more teargas into the dark 	2	1	2
they're forcibly bringing this to an end 	2	1	3
ambulances still rushing injured out    	2	1	3
2 arrested in art heist at Calif  financier's home	1	1	2
(AP) — Police say they've arrested two suspects and recovered all the paintings stolen in a huge heist from the home of a Southern California financier 	1	1	3
Richard Lewis said in a statement Thursday that most of the paintings were found when authorities served a search warrant on a car stereo store in Pasadena after a tip from local police 	2	1	1
Lewis says the store's manager  45-year-old Jay Jeffrey Nieto  was arrested Wednesday 	1	1	2
The investigation then led to a home in nearby San Gabriel  where police arrested 40-year-old Wilmer Cadiz and recovered four more paintings 	1	1	2
The victim  Jeffrey Gundlach of Santa Monica  returned from a business trip Sept  14 to find that more than a dozen paintings by the likes of Piet Mondrian and Jasper Johns worth a total of about $10 million had been taken 	1	1	2
The 2012 Emmys: Top 5 predictions	2	1	1
"It's time once again for TV's A-list to squeeze into their tuxes and gowns  practice their strategically ""spontaneous"" thank-you speeches  and brave Ryan Seacrest on the red carpet "	3	2	2
On Sunday night  the 64th annual Emmy Awards will air on NBC  with TV's most acclaimed series vying for the glory — and the ratings bump — that comes with the graceful gold statuette 	3	3	2
Unsurprisingly  critics are already second-guessing the night's successes  surprises  and snubs 	3	2	2
Here  5 predictions for the 64th annual Primetime Emmy Awards:	2	1	1
"1  Whatever your predictions  it's going to be an uncharacteristically unpredictable nightWhen Survivor host Jeff Probst wasn't even nominated in the Best Reality Show Host category — an award he's won since the category was created in 2008 — it was a sign that ""something new"" was finally happening with Emmy voters  says Lisa de Moraes at the Washington Post "	3	2	2
"As a result  the Emmys are looking ""particularly treacherous"" to previous winners and prognosticators "	2	1	2
Previous shoo-ins like The Daily Show may be in for an unpleasant surprise on Sunday night 	2	1	2
SEE ALSO: Revolution: Has TV finally found the next Lost?	2	1	1
2  Mad Men's reign as Best Drama might be overAMC's Mad Men is gunning for a record-breaking fifth consecutive Best Drama Emmy  but critically-acclaimed British costume drama Downton Abbey — which aired earlier this year on PBS — could break the streak 	3	2	2
"Historically  says Jill Serjeant at Reuters  ""British imports often do well at U S  awards shows """	2	2	1
Another potential bad omen for Mad Men?	3	1	2
"It ""emerged empty-handed from last weekend's Creative Arts portion of the Emmys "" which honors achievement in costuming and hairstyling — two aspects of Mad Men that have formerly been recognized as strengths "	2	2	2
"3  But Modern Family's reign continues unabatedThere's plenty to like about every show in the Best Comedy category  but ""it's unlikely anything can stop the glorious Modern Family's march to a third straight Emmy "" says TV Guide "	3	2	1
"The only potential spoiler for the ABC sitcom is CBS' The Big Bang Theory  which ""keeps getting better and better as it beefs up the wacky women's roles "" but it's far more likely that the Dunphy family will be adding another trophy to ABC's mantel "	3	2	2
"With three consecutive wins  Cranston is ""the undefeated heavyweight champ"" of the Lead Actor category and his series-best performance in Breaking Bad's fourth season should earn him a fourth trophy "	2	3	1
"And Danes' starring turn in Homeland is ""the indisputable breakout female performance of the year """	2	2	1
Do any of her co-nominees stand a chance?	2	2	1
"Just ""try to find a single Emmy expert predicting anyone other than Danes"" and you'll have your answer "	3	1	2
But will he earn the Emmy he so richly deserves?	2	2	1
"Not likely  says Maria Elena Fernandez  Jim Parsons' ""huge sentimental moment in the finale"" of The Big Bang Theory will earn him a third Emmy award "	3	2	2
View this article on TheWeek com	2	1	1
Get 4 Free Issues of The Week	2	1	1
Other stories from this section:	1	1	1
The 2012 enthusiasm gap: Are Democrats or Republicans more fired up?	2	2	1
Through most of this year's presidential campaign  the conventional wisdom was that Republican voters were more enthusiastic than their Democratic counterparts 	3	2	1
The reasoning seemed air-tight: As Americans of all stripes grew frustrated with enduring economic pain  conservatives  who despise President Obama  were itching for the chance to replace him in the White House with Mitt Romney  and many of Obama's supporters were growing disillusioned 	3	2	2
A new Gallup poll  however  suggests that over the summer  the tide turned 	1	1	1
In the 12 swing states likely to decide the presidential contest  Gallup says  the parties were equally enthusiastic in June 	1	2	1
Since then  both parties have picked up enthusiasm  as have independents  but Democrats have gained the most 	1	3	1
They now hold a significant lead  with 73 percent of battleground Democrats saying they are very or extremely charged up about voting  compared to just 64 percent of Republicans 	1	1	1
Are Democrats the ones who now hold the enthusiasm edge?	2	2	1
No question 	3	2	1
He's trailing in polls  and voters give him lower marks than Obama on almost every issue 	3	3	2
Now his enthusiasm edge has evaporated 	2	1	2
"What they weren't counting on was that ""disdain for Romney"" makes Democrats ""even more motivated"" to keep Mitt out of the White House ""Democratic"	3	2	2
"Democrats are on an unsustainable sugar high: If you watched the Dems' ""Abortion-Palooza"" of a convention  says Ed Morrissey at Hot Air  you know Obama is going for a big turnout among diehard Democrats instead of trying to win over moderates "	3	2	1
"Obama's poll bounce and enthusiasm burp suggest the strategy ""paid dividends """	3	3	1
"Based on Obama's deflating tracking-poll numbers  though  he won't be able to sustain the energy to keep up with the GOP's steadily surging spirits over the ""two-month grind ahead """	3	2	2
Gallup: Democratic enthusiasm surges in swing states  nationally	2	2	1
It depends how you slice it: Obama's indeed leading among likely voters — 50 percent to 45 percent  according to a recent NBC/Wall Street Journal survey  says Chris Cillizza at The Washington Post 	3	2	1
"Romney still has the advantage  though  among the likeliest voters — ""that slice of the most enthusiastic slice of the electorate """	3	2	2
It's hard to say who the math favors 	3	2	1
"The only certain thing is that in a close race ""small margins matter "" so victory could go to the side that musters more enthusiasm in a couple of swing states ""The"	3	2	1
SEE MORE: Obama's convention bounce: What it means for the race	1	1	1
