news article	Fluency	Conciseness	Descriptiveness	Novelty	Completeness	Referencing	Formality	Richness	Attractiveness	Technicality	Popularity	Subjectivity	Positive Emotion	Negative Emotion	Quality
MINNEAPOLIS (AP) � An Israeli immigrant who started a signage company in his basement and spent decades building it into a successful business was among five people slain by a fired employee at a Minneapolis workplace authorities said.Also killed were an avid sculptor and painter with a day job there and a UPS driver who made pickups and deliveries to the company for years. Police said he was simply in the wrong place at the wrong time.Six people � including the suspected gunman � were shot to death Thursday afternoon at Accent Signage Systems located in a quiet residential corner of northwest Minneapolis. Police say Andrew Engeldinger 36 was fired from the company that afternoon and responded by fatally shooting others there before he turned the gun on himself in the buildings basement.Among those killed were Reuven Rahamim 61 the companys founder Rami Cooks 62 of Minnetonka Jacob Beneke 34 of Maple Grove Ronald Edberg 58 of Brooklyn Center and Keith Basinski 50 a Wisconsin native who was the UPS driver.No details were immediately released about why Engeldinger was fired but Minneapolis Police Chief Tim Dolan said it appeared he singled out some victims and spared others. Engeldingers family offered sympathy to the victims in a statement through the National Alliance on Mental Illness. It said he had struggled with mental illness for years.This is not an excuse for his actions but sadly may be a partial explanation the statement said.Rahamims family asked that the focus of the tragedy be on those killed rather than the gunman. Rahamims son-in law Chad Blumenfield wrote in an email that he was born and raised on a farm in Israel and was a soldier in the Israeli Army before leaving for the U.S. after the Yom Kippur War which occurred in 1973.He loved spending time with his children and grandchildren and especially loved to take his grandson for bike rides Blumenfield wrote.Beneke had a wife and a young son said Lorrie Link who heads the Maple Grove Arts Center. She said Beneke was a volunteer there where he displayed his work and promoted the work of other artists in the suburb northwest of Minneapolis.Benekes Facebook page said he worked as digital imaging manager at Accent Signage Systems.He was just a very cool guy. He was very creative and expressive Link said of the New Albin Iowa native. His sculptures and paintings and drawings made us laugh.Basinski was a Wisconsin native dedicated to the Green Bay Packers. Dolan said he likely wasnt one of the gunmans primary targets but was killed simply because he happened to be there.Minneapolis Police Capt. Amelia Huffman said the scene at Accent Signage Systems was very chaotic and that it was taking time for police to put together a comprehensive chronology. She said there were more than 20 people scattered in the building when Engeldinger began firing and witnesses only saw bits of what happened.Huffman said police believe Engeldinger got a letter of reprimand in the mail and came into the office Thursday afternoon. At that point he was terminated.From the best we can tell the incident started right after Mr. Engeldinger had been fired Huffman said. She said there was a struggle in the office and shots were fired which employees elsewhere in the building heard. Dolan said Engeldinger used a 9mm Glock semi-automatic pistol he had owned for about a year.And Mr. Engeldinger left the back office area and fired additional shots throughout the building she said. Victims were shot throughout the building she said.Police said the first 911 calls came in about 4:30 p.m. Thursday. Initially three officers responded Dolan said the shooting was over by the time they got there and they entered the building to find a scene he described as hellish. Dolan said those three officers were put on leave to give them time to recover.This scene is by far the most traumatic these officers have ever encountered Dolan said.It took officers a long time to secure the very large building he said. The company had no security and Dolan said tactical units found two people hiding a very long time after the attack began.Later Thursday SWAT teams and investigators searched Engeldingers home in south Minneapolis. There they found a second gun and packaging for 10000 rounds of ammunition in the house.He obviously had this gun and was practicing how to use this gun Dolan said.Sue Abderholden executive director of the National Alliance on Mental Illness Minnesota chapter said Engeldingers family had sought help from the group two years ago with his parents taking a 12-week course on recognizing and dealing with mental illness.She said their concerns were much more centered around paranoid thoughts. No violence or anything like that. The Engeldingers were not able to convince Andrew to seek treatment she said.Andrew Engeldingers uncle Joe Engeldinger of New Germany Minn. called his nephew a good kid who broke the hearts of family members when he broke off contact with them about two years ago.When I would see his family I would ask them about Andy and nobody could ever tell me anything Joe Engeldinger said.Chuck and Carolyn Engeldinger raised Andrew and his two siblings in the Minneapolis suburb of Richfield Joe Engeldinger said.He wasnt a monster. He wasnt Joe Engeldinger said. He was a real good kid a real good person. He had a real good heart. I dont know what made all this transpire. Hopefully the truth will come out and wont get twisted into some demented thing.The Minnesota Bureau of Labor and Industry said it was the deadliest workplace shooting since the agency began tracking such events in 1992. No more than two workers had died in such a shooting before this week according to the St. Paul Pioneer Press.___Associated Press reporter Martiga Lohn contributed to this report.	4	4	3	3	4	3	4	3	3	2	3	2	1	3	4
As Mitt Romney continues to stand behind his surreptitiously recorded admittedly not elegantly stated contention to wealthy donors that nearly half of American voters are dependent on government handouts nursing victim complexes and unlikely to vote for him Republicans are split between banging their heads on their desks over this 47 percent disaster and rushing to Romneys defense. David Frum at The Daily Beast is firmly in the head-banging camp but wryly predicted that the other side would become the definitive conservative point of view after Rush Limbaugh weighs in. Limbaugh didnt disappoint calling the secret video a golden opportunity for Romney to take the gloves off and take the fear off and just start explaining conservatism. Instead of a campaign-crushing disaster could Romneys write-off of the moochers be the reboot he so sorely needs?Romney can make this a winning issue: Ignore the spin of the Obama-loving media says Rush Limbaugh. When [Romney] talks to his donors about these 47 percent that are locked into Obama he does it with disappointment sadness but not resignation. Hes not giving up on them. And now that hes got their attention he has a golden opportunity to explain why his conservative policies will free them. Its sitting there on a silver platter but Romney has to get out there take this by the horns turn it into a positive and convince people that if they vote Romney they dont have to be in that 47 percent.A golden opportunity for Mitt RomneySEE MORE: Mitt Romneys botched Libya response: Could it cost him the election?Are you kidding? This is an unmitigated disaster: The politics of Romneys 47 percent monstrosity are terrible says Joe Klein at TIME. He threw a huge number of his own voters as well as decades of GOP tax policies under the bus to play to the fantasy prejudices of fat cats. Bad move. Romneys adoption of the Fox-Rush neolibertarian sensibility places him in an impossible position and now hell have to defend his fantasy in the debates. Since he cant hes rendered his campaign a parachute jump into quicksand and he is sinking fast.Bitter clinging moochersIt all depends. Will Romney rise to the occasion? Look everyone gets knocked down in politics and the good candidates get back up again says Chris Cillizza at The Washington Post. The leaked video could be a turning point for Team Romney the wake-up call it needs to sharpen its message. He has about two weeks to use this bad September as the foundation for a strong October. If he can close strong on the economy Romney could well emerge in a months time on the receiving end of a series of what didnt kill Mitt Romney made him stronger stories.5 ways Mitt Romney can (still) turn the 2012 race aroundSEE MORE: 5 signs that Mitt Romney can still winRead more political coverage at The Weeks 2012 Election Center.View this article on TheWeek.com Get 4 Free Issues of The WeekOther stories from this topic:	3	2	3	2	2	2	3	2	2	3	2	3	2	2	2
The image: The Weekly Standard reports that voters in Virginia are starting to receive their first mailers from the Romney campaign � and the top issue isnt the lackluster economy or the bloated budget deficit but Lyme Disease. (See an image of the full mailer here.) Its a disease that begins from a small bug reads the mailer. But Lyme Disease has quickly become the most common vector-borne disease in the United States. The mailer which describes Lyme Disease as a massive epidemic threatening Virginia promises that a President Romney would take action to bring the disease under control. The mailer is apparently part of Romneys micro-targeting strategy which seeks to engage voters on the local issues they care most about.The reaction: Well its tough to micro-target any deeper than a mailer talking about ticks says Tim Murphy at Mother Jones. But remember Virginia is an immensely important battleground state where Romney needs to establish his bona fides on the economy and other presidential-level issues. Indeed a micro-targeting campaign wont be much use to Romney says Josh Kraushaar at National Journal since he badly needs an overarching vision that appeals to Americans dissatisfied with Obamas performance in office and struggling in a stagnant economy.View this article on TheWeek.com Get 4 Free Issues of The WeekOther stories from this topic:	3	4	3	4	3	3	3	4	4	4	3	2	1	2	3
KANSAS CITY Mo. (AP) � Advocates for people who engage in rough but consensual sex say they fear an abuse case unfolding in Missouri ultimately could criminalize their lifestyle.Ed Bagley faces a federal trial early next year on 11 counts of abuse against a woman who authorities say he groomed to be his sex slave. Now prosecutors plan to present consensual though violent acts between Bagley and his own wife as evidence that Bagley has a history of sexually assaulting women.The case will include evidence of sadistic sexual assaults committed by Bagley against his wife Marilyn prosecutors say.Marilyn Bagleys consent to the sexual assaults by Defendant Edward Bagley does not change whether the acts legally constitute assault or not. Pursuant to the Missouri state assault statute ... consent is not a defense to assault resulting in serious physical injury prosecutors wrote in court documents filed last month.Some worry the governments assertion could open up people who practice bondage dominance sadism and masochism � or BDSM � to criminal charges for consensual acts theyre already performing said Susan Wright founder of the Baltimore-based National Coalition for Sexual Freedom.We are following this case specifically because we were hoping this issue would not come up she said.Ed Bagley 45 of Lebanon Mo. is accused of grooming a young woman to be his sex slave starting in 2002 then keeping her captive for years while making money from her images on fetish Internet sites and forcing her to work as a dancer at strip clubs. Marilyn Bagley 47 is charged with five counts including sex trafficking and forced labor trafficking.Both have pleaded not guilty and are scheduled for trial in February.Prosecutors claim Bagley known as Master Ed tortured the young woman and made her available to other men who came to his trailer either to torture or have sex with her. Four men who said they visited Bagleys trailer to watch or take part have pleaded guilty to conspiracy charges.The case came to light in early 2009 after the woman then 23 was hospitalized after what prosecutors said was a torture session. Then-U.S. Attorney Beth Phillips called the case one of the most horrific ever prosecuted in this district.Advocates for the BDSM community say even the most brutal acts detailed in Bagleys federal indictment are not criminal acts as long as there was consent. But if the woman was too young or not intelligent enough to consent as prosecutors allege or if she initially gave consent and then changed her mind most who spoke with the AP said that would be criminal sexual abuse.Its the inclusion of Bagleys acts with his wife in the case that concerns BDSM advocates and Bagleys attorney Susan Dill.Like many people from all walks of life my client and his wife engaged in what some might term alternative but nonetheless consensual sexual activity that they both enjoyed Dill said in an email to The Associated Press. The assertion that their consensual marital sex life is evidence of prior criminal activity is nonsensical.As in several other states Missouri assault laws limit instances in which consent can be used as a defense against criminal charges when serious injuries occur. Exceptions generally are made for athletic activities and the victims occupation or professions in which the conduct and harm are reasonably foreseeable hazards.Wrights group contends serious physical injury is not well-defined under law.The assessment of the seriousness of harm is often affected by judges moral judgments about the iniquity of the conduct the organization says on its website in a section focusing on the consent issue. Courts tend to inflate the risk and harmfulness of an activity they want to denounce. For example any injury caused during a sadomasochistic encounter has been consistently classified as serious.Diana Adams a New York attorney and sexual freedom activist who represents clients in alternative lifestyles said the landmark 2003 U.S. Supreme Court ruling Lawrence v. Texas that struck down a Texas anti-sodomy law declared we had a right to consensual sex between adults in the privacy of our own homes but that the law is not clearly defined.In this kind of case sometimes its selectively applied Adams said.She said federal courts in Texas and Alabama interpreted the Lawrence decision in different ways in 2004. The Texas court used the case to strike down a ban on sales of sex toys citing Lawrences privacy conclusion. The Alabama court however upheld a similar ban by saying commercial sale of the toys was an issue of obscenity not privacy.Wright notes that regardless of the legal precedent prosecutors attempts to present acts between Bagley and his wife as evidence in the Missouri case also comes at a time when kinky sex practices appear to be gaining broader public acceptance amid the popularity of the E.L. James 50 Shades of Grey bondage books.Because of 50 Shades of Grey a lot of people are trying BDSM for the first time this year she said. We want to be sure they understand they have to do these activities consensually and to make sure they have the skill to do them safely.	3	3	3	3	4	4	3	3	3	4	3	3	1	3	3
LOS ANGELES (AP) � What is Two and a Half Men with Jon Cryer and without Charlie Sheen? Really good was the Emmy Awards verdict Sunday as Cryer claimed the best comedy actor trophy.Dont panic people. Something has clearly gone terribly wrong. Im stunned said Cryer who on the red carpet before the show has expressed confidence he wouldnt win. Among others he beat out two-time winner Jim Parsons of The Big Bang Theory.Ashton Kutcher who joined the show after Sheen was fired wasnt nominated.Julia Louis-Dreyfus was honored as best actress in comedy for Veep.Modern Family made it look easy as the comedys Eric Stonestreet and Julie Bowen claimed supporting actor awards.Stonestreet was funny and touching as he accepted the best supporting actor award for his role as half of a devoted gay couple on Modern Family.I wouldnt be standing here without Jesse Tyler Ferguson there is no Cam without Mitch he said saluting his co-star. We get the awesome opportunity to play these two characters on TV and show America and the world what a loving couple we can be just like everybody else.Then he turned saucy: I never knew Id be on TV as a gay man but I love the pictures of hairy chests you guys are sending me its really amazing. Thank you for those.Bowen got a huge shout-out from castmate Sofia Vergara.Oh thats my Sofia God bless you. ... This is an embarrassment of riches Bowen said.The show started with bathroom humor: A filmed bit with Kathy Bates Zooey Deschanel and other nominated actresses prepping in the restroom then discovering a weeping Jimmy Kimmel lamenting a Botox reaction he said would keep him off stage as host.You look beautiful he was reassured. You look like a Real Housewife.Viewers of the skit may have been puzzled by a nude Lena Dunham the creator-star of Girls whos routinely brave about showing skin on the HBO comedy.Standup comic Louis C.K. won the Emmy Award for best comedy writing for Louis C.K.HBO came into the night with a leading 17 creative arts Emmys from a Sept. 15 ceremony honoring technical and other achievements. CBS was second with 13 followed by PBS with 11. Discovery received six awards NBC got five and ABC and the Cartoon Network won four each. Fox received two trophies.Emmy has to prove herself a winner with the audience. After rebounding somewhat to 13.5 million viewers in 2010 after an all-time low in 2008 of 12.3 million last years show drew 12.4 million viewers airing on Fox. The ceremony rotates annually among the four major networks.	3	4	3	2	3	2	2	3	2	2	4	2	3	1	2
LUBBOCK Texas (AP) � The mother of a teenager at Billy Gillispies camp this summer claims in a letter to a top school administrator that the former Texas Tech coach repeatedly verbally abused her son.The woman wrote that other coaches at the camp told her son that Gillispie likes to pick someone and try to break them for some reason according to a letter to Texas Techs chancellor obtained Friday by The Associated Press through an open records request.The mothers name is redacted in the Aug. 20 letter to Kent Hance.Gillispie resigned from Texas Tech on Thursday citing health concerns after being hospitalized twice in the past month.He did not immediately return a message seeking comment.Gillispie 52 stepped down amid allegations he mistreated players on his team.	2	2	3	2	2	2	1	2	2	1	2	2	1	2	2
ST. LOUIS (AP) � With a string of gold albums a hit TV series and the signature Moon River Andy Williams was a voice of the 1960s although not the 60s we usually hear about.The old cliche says that if you can remember the 1960s you werent there the singer once recalled. Well I was there all right but my memory of them is blurred � not by any drugs I took but by the relentless pace of the schedule I set myself.Williams plaintive tenor boyish features and easy demeanor helped him outlast many of the rock stars who had displaced him and such fellow crooners as Frank Sinatra and Perry Como. He remained on the charts into the 1970s and continued to perform in his 80s at the Moon River Theatre he built in Branson Mo.In November 2011 when Williams announced that he had been diagnosed with bladder cancer he vowed to return to performing the following year: His 75th in show business.Williams died Tuesday night at his home in Branson following a yearlong battle with the disease his Los Angeles-based publicist Paul Shefrin said Wednesday. He was 84.He became a major star the same year as Elvis Presley 1956 with the Sinatra-like swing Canadian Sunset and for a time he was pushed into such Presley imitations as Lips of Wine and the No. 1 smash Butterfly.But he mostly stuck to what he called his natural style and kept it up throughout his career. In 1970 when even Sinatra had given up and (temporarily) retired Williams was in the top 10 with the theme from Love Story the Oscar-winning tearjerker. He had 18 gold records and three platinum was nominated for five Grammy awards and hosted the Grammy ceremonies for several years.Movie songs became a specialty from Love Story and Days of Wine and Roses to Moon River. The longing Johnny Mercer-Henry Mancini ballad was his most famous song even though he never released it as a single because his record company feared such lines as my huckleberry friend were too confusing and old-fashioned for teens.The song was first performed by Audrey Hepburn in the beloved 1961 film Breakfast at Tiffanys but Mancini thought Moon River ideal for Williams who recorded it in pretty much one take and also sang it at the 1962 Academy Awards. Although Moon River was covered by countless artists and became a hit single for Jerry Butler Williams made the song his personal brand. In fact he insisted on it.When I hear anybody else sing it its all I can to do stop myself from shouting at the television screen No! Thats my song! Williams wrote in his 2009 memoir titled fittingly Moon River and Me.The Andy Williams Show which lasted in various formats through the 1960s and into 1971 won three Emmys and featured Williams alternately performing his stable of hits and bantering casually with his guest stars.It was on that show that Williams � who launched his own career as part of an all-brother quartet � introduced the world to another clean-cut act � the original four singing Osmond Brothers of Utah. Their younger sibling Donny also made his debut on Williams show in 1963 when he was 6 years old. Four decades later the Osmonds and Williams would find themselves in close proximity again sharing Williams theater in Branson.Williams did book some rock and soul acts including the Beach Boys the Temptations and Smokey Robinson. On one show in 1970 Williams sang Heaven Help Us All with Ray Charles Mama Cass and a then-little known Elton John a vision to Williams in his rhinestone glasses and black cape. But Williams liked him and his breakthrough hit Your Song enough to record it himself.Williams act was apparently not an act. The singers unflappable manner on television and in concert was mirrored offstage.I guess Ive never really been aggressive although almost everybody else in show business fights and gouges and knees to get where they want to be he once said. My trouble is Im not constructed temperamentally along those linesHis wholesome image endured one jarring interlude. In 1976 his ex-wife former Las Vegas showgirl Claudine Longet shot and killed her lover skiing champion Spider Sabich. The Rolling Stones mocked the tragedy in Claudine a song so pitiless that it wasnt released until decades later. Longet who said it was an accident spent only a week in jail. Williams stood by her. He escorted her to the courthouse testified on her behalf and provided support for her and their children Noelle Christian and Robert.Also in the 1970s Williams was seen frequently in the company of Ethel Kennedy Robert Kennedys widow. The singer denied any romantic involvement.He was born Howard Andrew Williams in Wall Lake Iowa on Dec. 3 1927. In his memoir Williams remembered himself as a shy boy who concealed his insecurity behind a veneer of cheek and self-confidence. Of Wall Lake Williams joked that it was so small and had so little to do that crowds would gather just to watch someone get a haircut.Williams began performing with his older brothers Dick Bob and Don in the local Presbyterian church choir. Their father postal worker and insurance man Jay Emerson Williams was the choirmaster and the force behind his childrens career.When Andy was 8 Williams father brought the kids for an audition on Des Moines radio station WHOs Iowa Barn Dance. They were initially turned down but Jay Emerson Williams and the young quartet kept returning and they were finally accepted their show bringing them attention from Chicago Cincinnati and Hollywood. Another star at WHO was a young sportscaster named Ronald Reagan who would later praise Williams as a national treasure.The brothers joined Bing Crosby in recording the hit Swinging on a Star in 1944 for Crosbys film Going My Way and Andy barely a teenager was picked to dub Lauren Bacalls voice on a song for the film To Have and Have Not. His voice stayed in the film until the preview when it was cut because it didnt sound like Bacalls.Later the brothers worked with Kay Thompson of eventual Eloise fame then a singer who had taken a position as vocal coach at MGM studios working with Judy Garland June Allyson and others. After three months of training Thompson and the Williams Brothers broke in their show at the El Rancho Room in Las Vegas to a huge ovation. They drew rave reviews in New York Los Angeles and across the nation earning a peak of $25000 a week.Williams analyzing their success once said: Somehow we managed to work up and sustain an almost unbearable pitch of speed and rhythm.After five years the three older brothers who were starting their own families had tired of the constant travel and left to pursue other careers.Williams initially struggled as a solo act and was so broke at one point that he resorted to eating food intended for his two dogs.I had no money for food so I ate it he recalled in 2001 and it actually was damned good.A two-year TV stint on Steve Allens Tonight Show and a contract with Cadence Records turned things around. In the 1960s. Williams later formed his own label Barnaby Records which released music by the Everly Brothers Ray Stevens and Jimmy Buffett.Williams was a lifelong Republican who once accused President Obama of following Marxist theory. But he acknowledged experimenting with LSD opposed the Nixon administrations efforts in the 1970s to deport John Lennon and in 1968 was an energetic supporter of Robert Kennedys presidential campaign. When Kennedy was assassinated in Los Angeles in June 1968 just after winning the California Democratic primary Williams sang The Battle Hymn of the Republic at his funeral.We chose that song because he used it on the campaign trail Williams later said of Kennedy who had been a close friend. He had a terrible voice but he loved to sing that song. The only way I got through singing in church that day was by saying This is my job. I cant let emotion get in the way of the song. I really concentrated on not thinking about him.After leaving TV Williams headed back on the road where his many Christmas shows and albums made him a huge draw during the holidays. One year in Des Moines however a snowstorm kept the customers away and the bands equipment failed to reach Chicago in time for the next nights show forcing the musicians to borrow instruments from a high school band.No more tours Williams decreed.He decided to settle in Branson the self-proclaimed live entertainment capital of the country with its dozens of theaters featuring live music comedy and magic acts.When he arrived in 1992 the town was dominated by country music performers but Williams changed that building the classy $13 million Andy Williams Moon River Theater in the heart of the citys entertainment district and performing two shows a night six days a week nine months of the year. Only in recent years did he begin to cut back to one show a night.Not surprisingly his most popular time of the year was Christmas although he acknowledged that not everyone in Hollywood accepted his move to the Midwest.The fact is most of my friends in L.A. still think Im nuts for coming here he told The Associated Press in 1998.He and his second wife the former Debbie Haas divided their time between homes in Branson and Palm Springs where he spent his leisure hours on the golf course when Bransons theaters were dark during the winter months following Christmas.Retirement was not on his schedule. As he told the AP in 2001: Ill keep going until I get to the point where I cant get out on stage.Williams is survived by his wife Debbie and his three children Robert Noelle and Christian.___Thomas reported from Los Angeles. AP Entertainment Writer Nekesa Mumbi Moody contributed to this report from Nashville Tenn.	4	4	3	3	5	3	2	4	4	2	3	1	1	1	4
The percentage of school children obtaining exemptions from required vaccinations for nonmedical reasons is increasing a new report says.In 2011 just over 2 percent of school children were exempt from getting their vaccines for nonmedical reasons up from about 1 percent in 2006 the report found.Our results show that nonmedical exemptions have continued to increase and the rate of increase has accelerated in recent years the researchers at Emory University wrote in a letter published today (Sept. 20) in the New England Journal of Medicine.All U.S. states allow children to be exempt from vaccination requirements for medical reasons � some children are allergic to vaccines others have conditions that severely compromise their immune systems and could make vaccination dangerous to a childs health.In addition 48 states allow exemptions for nonmedical reasons (Mississippi and West Virginia do not). Nonmedical exemptions can be granted for religious reasons or philosophical reasons though fewer states allow philosophical exemptions than religious ones.For their report researchers used data on vaccine exemptions from the Centers for Disease Control and Prevention for school years 2005�2006 through 2010�2011.They found that the rates of nonmedical exemptions were 2.5 times higher in states that allowed philosophical exemptions compared with states that allowed only religious exemptions.However the rate of exemptions was rising faster in states that allowed only religious exemptions the report said.The researchers also looked at state exemption rates in terms of how difficult exemptions are for parents to get � some states use a standardized form to request exemptions and make this form available at schools others require parents to go though the state health department or require a specifically worded letter or notarization.Over the study period the exemption rates were higher in states with easy exemption policies compared with states with difficult policies. In 2011 the average exemption rate in states with easy policies was 3.3. percent while it was 1.3 percent in states with difficult policies.In an earlier analysis of data from 1991 through 2004 we found an increase in exemption rates only in states with philosophical exemptions and in states with easy exemption procedures the researchers said.Pass it on: More schoolchildren are opting out of required vaccinations a new study says.FollowMyHealthNewsDaily on Twitter @MyHealth_MHND. Were also on Facebook & Google+.	3	3	3	3	3	3	3	3	2	2	2	2	2	2	3
For the first time scientists have peered to the edge of a colossal black hole and measured the point of no return for matter.A black hole has a boundary called an event horizon. Anything that falls within a black holes event horizon � be it stars gas or even light � can never escape.Once objects fall through the event horizon theyre lost forever Shep Doeleman assistant director of the MIT Haystack Observatory and research associate at the Smithsonian Astrophysical Observatory said in a statement Thursday (Sept. 27). Its an exit door from our universe. You walk through that door you�re not coming back.Although the event horizon is an imaginary line thats impossible to observe astronomers have imaged the region around a giant black hole at the center of a distant galaxy and measured for the first time the closest stable orbit in which matter can circle the black hole. The findings were reported today in the journal Science.The supermassive black hole in question lies at the center of the galaxy M87 which is about 50 million light-years from our own Milky Way. This behemoth black hole contains the mass of 6 billion suns.Using a new observatory called the Event Horizon Telescope which links up radio dishes in Hawaii Arizona and California astronomers measured that the innermost possible orbit for matter around the black hole is roughly 5.5 times the size of the black holes event horizon.This innermost orbit is about five times the size of the solar system or 750 times the distance from Earth to the sun Doeleman told SPACE.com. The distance between the Earth and the sun is nearly 93 million miles (150 million kilometers).The observations allowed the researchers to confirm that this swirling mass around the black hole is the source of the powerful jets of light seen radiating from the galaxy. Many galaxies throughout the universe spot similar jets thought to be produced by matter falling into their central black holes. Until now no telescope has had the resolution power to verify the idea.The Event Horizon Telescope is a new project that aims to link as many as 50 radio dishes around the world to work in concert to image the distant universe. Already the observatory can see celestial objects with 2000 times more detail than the Hubble Space Telescope.You can follow SPACE.com on Twitter @Spacedotcom. Were also on Facebook & Google+.	4	3	3	4	3	3	3	3	3	4	3	1	1	1	3
PEMBA Mozambique (Reuters) - It was billed as a celebration of its socialist revolution but when Mozambiques ruling Frelimo party marked its 50th birthday this week Marx came a distant second to Money.Reflecting their anti-colonial revolutionary roots Frelimo leaders pointedly chose a venue in the untamed corner of southern Africa where half a century ago guerrillas launched the uprising that would lead to independence from Portugal in 1975.But beyond the symbolism of the location in the northern province of Cabo Delgado the obligatory use of Comrade and the AK-47 rifle that still adorns the national flag everything at the party congress pointed to the huge wealth accruing to the political elite in the fast-growing energy producer.The venue itself was a lavish complex of VIP reception rooms and cavernous dining areas set amid a village of apartment units two on-site banks and a hospital clinic for 2000 guests.Just to the north lies the Rovuma Basin where U.S. energy firm Anadarko and Italys Eni are exploring some of the worlds biggest untapped natural gas reserves - an estimated 130 trillion cubic feet or enough to supply Western Europe for over a decade.To some of Mozambiques 23 million people the talk of revolutionary war by Frelimo leader and President Armando Guebuza - known as Mr. Guebusiness on account of his huge commercial interests - rings hollow.It is absurd to spend $8 million on a week-long conference when people are starving a block away said Rudiger Franck a hotel owner and Frelimo party member in Pemba the run-down seaside town that hosted the seven-day jamboree.It gives the impression that the party has lost touch with the reality of life for most of its members.MINING BOOMUnder its first president U.S.-educated sociologist Eduardo Mondlane Frelimo struck out on a Marxist course until 1990 when tired from civil war and under growing pressure from the West it renounced socialism.In the last decade mostly under Guebuza Mozambique has become a hotbed of foreign mining investment that has lifted economic growth to 7 percent a year and in 2011 made its currency the strongest performer against the dollar.Brazils Vale  for instance has poured $2 billion into a coal mine in the northwestern region of Moatize and plans to invest $6.4 billion in the years to come.Frelimo says all Mozambicans stand to benefit yet in a country where the average person scrapes by on $400 a year the opulence of its congress sends a conflicting message.This money never reaches the people. It remains in Frelimos pocket said Mustagibo Bachir a Cabo Delgado member of parliament for Renamo Frelimos foe during a 16-year post-independence civil war.Bachir sees a worrying precedent in the handling of the ruby and timber sectors in the north which remains one of the countrys poorest regions.Our people still dont have access to water food or jobs he said.Besides Renamo Frelimo is also facing opposition from the upstart Mozambican Democratic Movement (MDM) run by the 48-year-old mayor of Beira Mozambiques second city with a population of half a million people.Analysts say elections due in 2014 are too soon for MDM to make serious headway but point to its popularity with young educated and unemployed Mozambicans as a sign that it could become a force to be reckoned with later in the decade.	3	4	3	3	4	4	2	3	3	2	3	2	2	3	3
MAPUTO (Reuters) - Mozambiques cashew industry is ailing and the symptoms point to a bad bout of Dutch disease.In a nutshell this illness strikes an economy when the discovery of a resource such as oil draws in a flood of dollars boosting the local currency but making all other exports uncompetitive.The term was coined to explain the decline of manufacturing in the Netherlands after the discovery of North Sea oil and gas in the late 1950s.In Mozambiques case an investment boom in the nascent coal and gas sectors hoisted the metical by a whopping 33 percent against the dollar from September 2010 to the end of 2011. It has since held on to the bulk of those gains.Foreign direct investment soared to $2.1 billion last year - when the metical was the top-performing currency against the dollar - compared with just $7.8 million in 2010 central bank data showed.While the government will welcome the money it has crushed any cashew comeback and put the livelihood of tens of thousands of peasant farmers at risk in a country where agriculture still accounts for a third of gross domestic product.The tropical southeast African nation and former Portuguese colony was once the worlds top producer of the coveted nuts but - as with most of its economy - the industry was gutted when civil war erupted after independence in 1975.The end of conflict two decades ago allowed the cashew sector to sprout anew and in 2010 sales rose to a post-war peak of 113000 tonnes the third-highest in Africa behind Ivory Coast and Guinea-Bissau according to the Ghana-based African Cashew Alliance.But sales then tumbled to 63000 tonnes last year.Market and industry players say the currencys appreciation prompted buyers in India where most of Mozambiques cashews are processed to search for cheaper options elsewhere.Prices last year got to all time highs and that really hurts demand said Richard Rosenblatt of the Richard Franco Agency a U.S.-based nut broker.Oil-rich Angola another former Portuguese colony on the other side of Africa also highlights the impact of Dutch disease on agriculture.Before independence in 1975 and the chaos of its civil war Angola was the worlds fourth-largest coffee producer churning out 200000 tonnes of beans a year.Now a decade after the fighting ended it is vying with Nigeria to be Africas biggest oil producer while its coffee industry remains in a rut with annual output of a paltry 4000 tonnes.One solution being explored in Mozambique is to process its cashew nuts at home.The cashew nut is consumed externally so it is the international price that dictates things said Filomena Maiopue director of the National Cashew Institute in the capital Maputo.Weve reached the conclusion in discussion with the Ministry of Agriculture that in order to minimize that effect we need to intensify local processing said Maiopue.Even if the government does get its act together there is little immediate relief in store for farmers as money continues to pour in from mining giants such as Brazils Vale to develop the Mozambiques vast coal fields.Joaquin Solomon Nhantumo a farmer in southern Mozambique has been forced him to grow lettuce and tomatoes in his back-yard orchard to provide for himself and his eight children.But he says there is only one crop that will keep him in business in the long run.The cashew nut is our sole means of survival.	4	3	3	3	4	2	2	3	3	2	3	1	1	2	3
